playlist_id,playlist_title,video_id
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,F9_nx9wcIzc
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,xzKY7tNkxNs
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,3q-Fb7urTQY
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,lhq9wPk91g8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,Hr6nLJis3X4
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,rU1FduEdlII
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,hpY0K-hcJME
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,f-Pxu0f6bOs
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,K6wNHRxk50M
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,6tIY3rSnv0o
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,WggUekTVh-w
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,FidwXbMdPXM
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,3q4q7iZaWJ8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,aIvFZJmV_Oo
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,pV0idWDBqrk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,TUJZe4Plt7I
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,-mESrO9YxE8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,PuDCwNYd-Xg
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,hD96bS9xpXY
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,wlHNAsPEi04
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,AZtejhCkIOY
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,DcMgTe-1jr8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,x60jYv5DwAA
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,39RW9-inX6Q
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,GdA5Jh7KaRQ
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,4xGMbH8ndvE
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,esSEuUn9FdY
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,PON4k444lxo
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,5ZL3kXAfcR4
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,xpXMQ9t9I1U
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,VShBRcWVBaM
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,iKYVQHbTr34
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,aucnwDfZgLk
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,ZNP3Qn4xdS4
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,xCfba-65VMo
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,MOis5hpjOPc
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,Nu5V2ezsiVg
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,ajeXiZDquM0
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,QSYxP0LrP9I
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,qd1dRKGzC_Q
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,myEmGd8C2ow
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,BvIAJ-LpLnU
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,HE2M9tmF3v4
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,ESGhIdVoe30
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,K7TwnTWf-n8
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,CsLWCzbAgt0
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,UoamHU3ximg
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,rP_k05juEJ0
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,xp2fINZtAH4
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,FnB7Pp9r_3s
PLnNotX5RheZiIlKIEEEQfvESrMMjn5MtJ,Inside LAFC,17jUajmZy8k
PLnNotX5RheZiX3PxCUCVZjYtqOHpJg-w9,2019 Season Preview,dr6-hjxRj9g
PLnNotX5RheZiX3PxCUCVZjYtqOHpJg-w9,2019 Season Preview,IPslKYPDhW4
PLnNotX5RheZiX3PxCUCVZjYtqOHpJg-w9,2019 Season Preview,uUrrwLh1yLs
PLnNotX5RheZiX3PxCUCVZjYtqOHpJg-w9,2019 Season Preview,PMMT4MU45A4
PLnNotX5RheZiX3PxCUCVZjYtqOHpJg-w9,2019 Season Preview,aTewlj6Zfwo
PLnNotX5RheZiX3PxCUCVZjYtqOHpJg-w9,2019 Season Preview,s94dOyjpBio
PLnNotX5RheZgH0BhRbFOxX7vEJq8h0APY,The Call Up | USMNT 2019 Camp,sdcYLAMvcGU
PLnNotX5RheZgH0BhRbFOxX7vEJq8h0APY,The Call Up | USMNT 2019 Camp,4D9Vw21oba4
PLnNotX5RheZgH0BhRbFOxX7vEJq8h0APY,The Call Up | USMNT 2019 Camp,y9c3GW-5VgY
